SoC,C1,C2,C3
1,2115.61341631126,30827.2839856102,656611.611875469
0.99,2115.61341631126,30827.2839856102,656611.611875469
0.98,674.920415951845,35726.3328533986,300026.989849016
0.97,19467.7678766836,45765.1014893568,207455.638909331
0.96,360.295933594947,29470.4668297987,193827.787210073
0.95,10319.6246675429,57367.9957421622,430890.486302686
0.94,21230.106210273,54755.3073922626,626159.595086413
0.93,22300.729263504,63443.2323605207,564069.78742237
0.92,18228.0276460756,59850.1647628561,883391.988630073
0.91,19078.8891736431,103088.537174277,821554.40847636
0.86,19044.4746397013,260936.593040115,2117034.90542101
0.809999999999999,41641.522131868,146774.850237367,830763.297380965
0.76,22330.0178274077,167603.46191746,803287.051008605
0.71,20616.731710872,228138.189822185,1586495.41370977
0.66,29581.8977602148,216409.439844111,1387637.32956043
0.61,30296.6721874734,278448.462721754,1888131.45146162
0.56,34510.3547763604,237354.901130158,1429476.43156991
0.51,34894.6643871328,198966.831056609,1365619.69282282
0.46,42786.0440886876,141749.560781032,1387531.23010552
0.41,43398.8092886504,221457.207458528,2597511.19665913
0.36,42098.9285847064,150804.049204498,1663179.58944607
0.31,72186.0805695871,98000.5955441236,769934.528149795
0.26,81236.92801349,127699.992576893,774612.953746099
0.209999999999999,62141.9742509482,479419.165677771,3006700.62092586
0.16,43912.8217471093,448801.045627291,10702055.6848186
0.15,29196.0565647222,228089.916411401,3404797.82388132
0.139999999999999,22132.9229803559,125453.611501214,4754910.71871909
0.13,19491.5362085971,117101.013239607,3460608.91661216
0.12,40060.8392684837,210141.991088732,3546966.47842831
0.109999999999999,37625.991291371,176093.243153545,1281547.24585726
0.0999999999999999,41207.2055402549,183786.6255577,1361284.243937
0.09,42293.4052523478,116944.546574019,1360731.47787758
0.0799999999999999,37150.5687074386,94508.1999258593,1066367.402683
0.0699999999999999,41627.9092145114,117388.199560485,1056306.90743618
0.06,42902.7511819424,103713.569903023,885110.289876246
0.0499999999999999,28401.343865238,58322.3314777244,350635.643862762
0.0399999999999999,12285.0808605594,21523.3998011199,89007.5445239902
0.03,12285.0808605594,21523.3998011199,89007.5445239902
0.0199999999999999,12285.0808605594,21523.3998011199,89007.5445239902
0.00999999999999998,12285.0808605594,21523.3998011199,89007.5445239902
0,12285.0808605594,21523.3998011199,89007.5445239902
