SoC,OCV
1,4.1852204932759
0.99,4.16813946781517
0.98,4.15105844235444
0.97,4.13815393952018
0.96,4.12599094686882
0.95,4.11457339675366
0.94,4.10390916669198
0.93,4.09339786196575
0.92,4.08347926335154
0.91,4.07381478050446
0.86,4.02083900439668
0.809999999999999,3.97154073963299
0.76,3.91442516027045
0.71,3.87200596428542
0.66,3.84095140292694
0.61,3.81513990665222
0.56,3.79443847880074
0.51,3.78154752900076
0.46,3.77587824401836
0.41,3.76668244596922
0.36,3.73649865534225
0.31,3.69863761890257
0.26,3.64267252064571
0.209999999999999,3.57341249970546
0.16,3.51332194693921
0.15,3.50122010338573
0.139999999999999,3.49045019931315
0.13,3.47917132652917
0.12,3.4672742746542
0.109999999999999,3.4488030744508
0.0999999999999999,3.41785897494186
0.09,3.37558859039427
0.0799999999999999,3.32466561277587
0.0699999999999999,3.26271159202273
0.06,3.18505000089607
0.0499999999999999,3.08089250337508
0.0399999999999999,2.97673500585408
0.03,2.87257750833309
0.0199999999999999,2.76842001081209
0.00999999999999998,2.6642625132911
0,2.56010501577011
